,Open,High,Low,Close,Volume,Ticker,Daily_Return,Log_Return,MA_20,MA_50,Volatility_30
2023-01-03,89.58999633789062,91.05000305175781,88.5199966430664,89.12000274658203,28131200,GOOGL,,,,,
2023-01-04,90.3499984741211,90.6500015258789,87.2699966430664,88.08000183105469,34854800,GOOGL,-0.011669668800220356,-0.011738293794926783,,,
2023-01-05,87.47000122070312,87.56999969482422,85.9000015258789,86.19999694824219,27194400,GOOGL,-0.02134428750828732,-0.021575370936541414,,,
2023-01-06,86.79000091552734,87.69000244140625,84.86000061035156,87.33999633789062,41381500,GOOGL,0.0132250513922052,0.013138363861640698,,,
2023-01-09,88.36000061035156,90.05000305175781,87.86000061035156,88.0199966430664,29003900,GOOGL,0.007785669036956211,0.007755517116575155,,,
2023-01-10,85.9800033569336,88.66999816894531,85.83000183105469,88.41999816894531,30467800,GOOGL,0.004544439231246145,0.0045341444448540385,,,
2023-01-11,89.18000030517578,91.5999984741211,89.01000213623047,91.5199966430664,26862000,GOOGL,0.03505992465864893,0.03445932326221194,,,
2023-01-12,91.4800033569336,91.87000274658203,89.75,91.12999725341797,30258100,GOOGL,-0.004261357123618081,-0.004270462582834827,,,
2023-01-13,90.8499984741211,92.19000244140625,90.12999725341797,92.12000274658203,26329200,GOOGL,0.010863662054230172,0.01080507639887615,,,
2023-01-17,92.05999755859375,92.25,90.05000305175781,91.29000091552734,32602400,GOOGL,-0.009010006581719132,-0.009050842161977515,,,
2023-01-18,92.13999938964844,92.80000305175781,90.63999938964844,91.12000274658203,29116700,GOOGL,-0.0018621773166879185,-0.001863913324371507,,,
2023-01-19,90.72000122070312,93.61000061035156,90.62999725341797,93.05000305175781,37000400,GOOGL,0.021180863114582893,0.02095966660382842,,,
2023-01-20,95.0999984741211,98.30000305175781,95.0199966430664,98.0199966430664,63191100,GOOGL,0.053412073383211967,0.052034489348739034,,,
2023-01-23,97.94999694824219,100.04000091552734,97.5,99.79000091552734,40005100,GOOGL,0.01805758348376907,0.017896481836795368,,,
2023-01-24,98.0999984741211,99.61000061035156,97.19999694824219,97.69999694824219,33078500,GOOGL,-0.02094402192715028,-0.021166459258030738,,,
2023-01-25,95.56999969482422,96.16000366210938,93.76000213623047,95.22000122070312,42330000,GOOGL,-0.025383785107515155,-0.025711511226539138,,,
2023-01-26,96.5,97.56999969482422,95.37999725341797,97.5199966430664,30114000,GOOGL,0.02415454098800418,0.023867434163797288,,,
