,Open,High,Low,Close,Volume,Ticker,Daily_Return,Log_Return,MA_20,MA_50,Volatility_30
2023-01-03,243.0800018310547,245.75,237.39999389648438,239.5800018310547,25740000,MSFT,,,,,
2023-01-04,232.27999877929688,232.8699951171875,225.9600067138672,229.10000610351562,50623400,MSFT,-0.04374319912948854,-0.04472878184523187,,,
2023-01-05,227.1999969482422,227.5500030517578,221.75999450683594,222.30999755859375,39585600,MSFT,-0.02963774929736973,-0.030085822868812496,,,
2023-01-06,223.0,225.75999450683594,219.35000610351562,224.92999267578125,43613600,MSFT,0.011785322954254163,0.011716416894083157,,,
2023-01-09,226.4499969482422,231.24000549316406,226.41000366210938,227.1199951171875,27369800,MSFT,0.009736373594974257,0.009689280539900093,,,
2023-01-10,227.75999450683594,231.30999755859375,227.3300018310547,228.85000610351562,27033900,MSFT,0.007617167239879041,0.0075883031041337826,,,
2023-01-11,231.2899932861328,235.9499969482422,231.11000061035156,235.77000427246094,28669300,MSFT,0.030238138450453755,0.029789977897474562,,,
2023-01-12,235.25999450683594,239.89999389648438,233.55999755859375,238.50999450683594,27269500,MSFT,0.011621453894570033,0.011554443471914831,,,
2023-01-13,237.0,239.3699951171875,234.9199981689453,239.22999572753906,21333300,MSFT,0.003018746540126571,0.0030141992738542548,,,
2023-01-17,237.97000122070312,240.91000366210938,237.08999633789062,240.35000610351562,29831300,MSFT,0.004681730535380568,0.004670805320980337,,,
2023-01-18,241.57000732421875,242.3800048828125,235.52000427246094,235.80999755859375,30028700,MSFT,-0.01888915510560274,-0.0190698340624515,,,
2023-01-19,233.77999877929688,235.52000427246094,230.67999267578125,231.92999267578125,28623000,MSFT,-0.01645394564684821,-0.016590815250743796,,,
2023-01-20,234.86000061035156,240.74000549316406,234.50999450683594,240.22000122070312,35389800,MSFT,0.03574358128192001,0.03511960478689331,,,
2023-01-23,241.10000610351562,245.1699981689453,239.64999389648438,242.5800018310547,31934000,MSFT,0.009824330190487673,0.009776385221036106,,,
2023-01-24,242.5,243.9499969482422,240.44000244140625,242.0399932861328,40234400,MSFT,-0.0022261049585529102,-0.0022285864135329573,,,
2023-01-25,234.47999572753906,243.3000030517578,230.89999389648438,240.61000061035156,66526600,MSFT,-0.005908084264779956,-0.005925606042130097,,,
2023-01-26,243.64999389648438,248.30999755859375,242.0,248.0,33454500,MSFT,0.03071360031130177,0.030251378191659788,,,
2023-01-27,248.99000549316406,249.8300018310547,246.8300018310547,248.16000366210938,26498900,MSFT,0.0006451760568926268,0.000644968020295778,,,
2023-01-30,244.50999450683594,245.60000610351562,242.1999969482422,242.7100067138672,25867400,MSFT,-0.021961625031497123,-0.02220637150801496,,,
2023-01-31,243.4499969482422,247.9499969482422,242.9499969482422,247.80999755859375,26541100,MSFT,0.02101269294075281,0.02079497097670574,237.28099975585937,,
2023-02-01,248.0,255.17999267578125,245.47000122070312,252.75,31259900,MSFT,0.019934637383781206,0.019738544246612016,237.93949966430665,,
2023-02-02,258.82000732421875,264.69000244140625,257.25,264.6000061035156,39940400,MSFT,0.046884297145462384,0.04581841684722669,239.71449966430663,,
2023-02-03,259.5400085449219,264.20001220703125,257.1000061035156,258.3500061035156,29077300,MSFT,-0.023620558789990698,-0.02390399638962623,241.51650009155273,,
2023-02-06,257.44000244140625,258.29998779296875,254.77999877929688,256.7699890136719,22518000,MSFT,-0.006115800474224331,-0.006134578583204123,243.10849990844727,,
2023-02-07,260.5299987792969,268.7699890136719,260.0799865722656,267.55999755859375,50841400,MSFT,0.04202207815005732,0.04116313135052451,245.13050003051757,,
2023-02-08,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,54686000,MSFT,-0.0031020577808305028,-0.003106879135397032,247.0245002746582,,
2023-02-09,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,42375100,MSFT,-0.01165978982882443,-0.011728298227947615,248.41699981689453,,
2023-02-10,261.5299987792969,264.0899963378906,260.6600036621094,263.1000061035156,25818500,MSFT,-0.0019724945880554845,-0.0019744425174470525,249.64650039672853,,
2023-02-13,267.6400146484375,274.6000061035156,267.1499938964844,271.32000732421875,44630900,MSFT,0.031242877347060993,0.030764751827930373,251.2510009765625,,
2023-02-14,272.6700134277344,274.9700012207031,269.2799987792969,272.1700134277344,37047900,MSFT,0.0031328544912645473,0.0031279573280335762,252.84200134277344,,
2023-02-15,268.32000732421875,270.7300109863281,266.17999267578125,269.32000732421875,28922400,MSFT,-0.010471418462388193,-0.010526629528366202,254.5175018310547,,0.02178386980024208
2023-02-16,264.0199890136719,266.739990234375,261.8999938964844,262.1499938964844,29603600,MSFT,-0.026622654213367847,-0.026983455136297498,256.0285018920898,,0.020682713306315114
2023-02-17,259.3900146484375,260.0899963378906,256.0,258.05999755859375,30000100,MSFT,-0.015601741114309009,-0.01572472917292497,256.9205017089844,,0.02002737527465601
2023-02-21,254.47999572753906,255.49000549316406,251.58999633789062,252.6699981689453,28397400,MSFT,-0.020886613348218064,-0.021107824310530435,257.4250015258789,,0.020537355128882284
2023-02-22,254.08999633789062,254.33999633789062,250.33999633789062,251.50999450683594,22491100,MSFT,-0.004590982983795899,-0.004601553912552456,257.89850158691405,,0.020567990182413693
2023-02-23,255.55999755859375,256.8399963378906,250.47999572753906,254.77000427246094,29219100,MSFT,0.012961750375038772,0.012878465792599013,258.6065017700195,,0.020626972443571687
2023-02-24,249.9600067138672,251.0,248.10000610351562,249.22000122070312,24990900,MSFT,-0.02178436612899859,-0.022025148719785316,258.66750183105466,,0.020512953134448918
